audio_id,file_name,category,resolved_path,duration,rms_mean,rms_std,zcr_mean,zcr_std,spectral_centroid_mean,spectral_centroid_std,spectral_bandwidth_mean,spectral_bandwidth_std,spectral_rolloff_mean,spectral_rolloff_std
audio_0537,audio_0537.mp3,footsteps,..\..\data\raw\audio\audio_0537.mp3,18.080408163265307,0.043986979871988297,0.01763625256717205,0.0529180289232991,0.023022782436418275,2128.93648441416,451.1899799218343,2589.6584187471854,230.93947742658037,5020.332244363768,975.826188366205
audio_0538,audio_0538.mp3,footsteps,..\..\data\raw\audio\audio_0538.mp3,9.045804988662132,0.036481861025094986,0.03480121120810509,0.08977363782051281,0.0889637455226161,2298.6863524825108,764.4959003778944,2716.785785031635,345.84801824037686,5345.921349158654,1477.1579739175188
audio_0539,audio_0539.mp3,footsteps,..\..\data\raw\audio\audio_0539.mp3,9.542675736961451,0.011473639868199825,0.011328850872814655,0.018232730763381996,0.020050878169107163,1346.691727893921,607.085683203094,2374.6288264298064,458.80720131972083,3246.903156364051,1930.0247933280332
audio_0540,audio_0540.mp3,footsteps,..\..\data\raw\audio\audio_0540.mp3,4.644988662131519,0.003075112821534276,0.004989206790924072,0.059514439521144276,0.03714324720871196,1811.644578023952,807.5547691159148,2521.1408511938976,505.94255776789544,4359.080938083022,2201.443940169941
audio_0541,audio_0541.mp3,footsteps,..\..\data\raw\audio\audio_0541.mp3,16.9502947845805,0.018799884244799614,0.010472303256392479,0.05546072345890411,0.03083301184858523,1941.9085312142738,546.8366714543389,2440.2110430103658,310.71496513936717,4483.994575395976,1320.1758418748582
audio_0542,audio_0542.mp3,footsteps,..\..\data\raw\audio\audio_0542.mp3,7.315419501133787,0.015091229230165482,0.01289394125342369,0.056481470035601264,0.023207122597785686,1743.3685262811487,348.28454930398937,2289.31509945406,292.5349922755712,3893.3189681813687,1030.7468309061749
audio_0543,audio_0543.mp3,footsteps,..\..\data\raw\audio\audio_0543.mp3,7.26,0.016254834830760956,0.015595623292028904,0.06852317541932908,0.027902290215443427,1815.2515418332734,382.1022820031968,2147.915596663059,312.96089710108606,3755.170477236422,1015.0972557358871
audio_0544,audio_0544.mp3,footsteps,..\..\data\raw\audio\audio_0544.mp3,18.192018140589568,0.0011744399089366198,0.0013353405520319939,0.06829335738201531,0.028896548080473285,2174.5540808831615,551.3646058074567,2724.4710095763726,381.2412270744133,5303.7872314453125,1427.82130071687
audio_0545,audio_0545.mp3,footsteps,..\..\data\raw\audio\audio_0545.mp3,18.453469387755103,0.018820427358150482,0.011689325794577599,0.04792772209119497,0.02803461068551263,1857.6239396723404,551.5533780715404,2394.029506080306,327.4850408501657,4277.266085642688,1377.6089673961237
audio_0546,audio_0546.mp3,footsteps,..\..\data\raw\audio\audio_0546.mp3,11.734648526077098,0.019341859966516495,0.03026563674211502,0.1082218456645257,0.08312856552614835,2450.5808240029833,1117.6482476967008,2701.948923728676,617.1960448690417,5447.262054563982,2587.4714251010373
audio_0547,audio_0547.mp3,footsteps,..\..\data\raw\audio\audio_0547.mp3,24.285941043083902,0.02163182944059372,0.030679455026984215,0.11313980715224665,0.09217890393730484,2658.064426616377,1116.7791917230284,2828.173403764112,537.5105534306355,5969.854117807421,2356.338800363816
audio_0548,audio_0548.mp3,footsteps,..\..\data\raw\audio\audio_0548.mp3,6.781950113378684,0.007963161915540695,0.012621572241187096,0.14528450298634812,0.08416646782519822,2480.69010338998,1300.8273549169407,2316.8945034773838,1003.3865374332015,5094.513335244241,2642.4302897573716
audio_0549,audio_0549.mp3,footsteps,..\..\data\raw\audio\audio_0549.mp3,7.985714285714286,0.0009079632582142949,0.0013323647435754538,0.11640114007994186,0.0580308463106833,2302.266685419583,948.3355959286231,2291.9174727831723,853.308376118465,4900.431220476017,2028.1246551575657
audio_0550,audio_0550.mp3,footsteps,..\..\data\raw\audio\audio_0550.mp3,8.77501133786848,0.00485336035490036,0.004673562943935394,0.07043909143518519,0.03986127746756233,2115.48664689795,780.8126016418103,2470.8625723365035,382.1703330281982,4718.84765625,1502.6052375362112
audio_0551,audio_0551.mp3,footsteps,..\..\data\raw\audio\audio_0551.mp3,28.102902494331065,0.000920920807402581,0.0009166054660454392,0.0936701654108175,0.04141121888665706,2512.6121982047434,433.0848208393646,2706.42667970586,333.17390028310416,5627.456365155347,1072.0637707983751
audio_0552,audio_0552.mp3,footsteps,..\..\data\raw\audio\audio_0552.mp3,14.874557823129251,0.26030418276786804,0.04501162841916084,0.030588039927847113,0.010337609163467872,1115.3307224321775,252.4762372615292,1871.9397351063699,273.26042998695993,2311.5104115883387,803.3520233301916
audio_0553,audio_0553.mp3,footsteps,..\..\data\raw\audio\audio_0553.mp3,20.816689342403627,0.012299036607146263,0.017327433452010155,0.03946586277173913,0.059530666377189054,1723.2628977223512,656.2336499298573,2466.5414746679585,421.73112180186615,4074.6605710441054,1601.0954517823482
audio_0554,audio_0554.mp3,footsteps,..\..\data\raw\audio\audio_0554.mp3,12.059591836734693,0.0045397235080599785,0.005107144359499216,0.20213247445913463,0.07836665543011416,3690.3146544715755,598.2817066679553,2958.6716949436363,219.26938642924415,7365.846228966346,870.5865623093181
audio_0555,audio_0555.mp3,footsteps,..\..\data\raw\audio\audio_0555.mp3,10.0,0.00495196832343936,0.0029849775601178408,0.06324091864849188,0.029860117862509267,2026.8802080750552,481.8498934967548,2379.3614083061702,236.1393816345179,4495.843038536833,980.687389575186
audio_0556,audio_0556.mp3,footsteps,..\..\data\raw\audio\audio_0556.mp3,3.215963718820862,0.004631707910448313,0.0029321538750082254,0.09785296762589928,0.02828338687901606,2499.459691547837,335.8940249409856,2675.4796294075713,217.61972249889257,5691.039687781025,714.13573191053
audio_0557,audio_0557.mp3,footsteps,..\..\data\raw\audio\audio_0557.mp3,3.4885714285714284,0.03505490720272064,0.02597404457628727,0.06026554739238411,0.024417130206563515,1949.157807683893,375.014883538985,2590.1812223745455,370.72281645189867,4733.026567673841,1170.303669260555
audio_0558,audio_0558.mp3,footsteps,..\..\data\raw\audio\audio_0558.mp3,20.19034013605442,0.009652267210185528,0.01442818995565176,0.07778432561063219,0.04123917714173159,1832.883864075931,833.0786837164627,2275.6786431259648,697.0166850151753,4102.013318292026,2318.3038423439098
audio_0559,audio_0559.mp3,footsteps,..\..\data\raw\audio\audio_0559.mp3,26.28267573696145,0.004661413840949535,0.008727096021175385,0.14048006846289754,0.08656695940807703,3074.7832324906367,1074.497605145173,2875.8984109776006,511.56078054887195,6511.577851527993,2057.0523466770287
audio_0560,audio_0560.mp3,whisper,..\..\data\raw\audio\audio_0560.mp3,11.26140589569161,0.008899573236703873,0.013284135609865189,0.06580521101804124,0.10106512616936014,1528.8692898726733,1393.8995895599564,1864.9097146847864,776.3136417184112,2972.181409068943,2656.200143696211
audio_0561,audio_0561.mp3,whisper,..\..\data\raw\audio\audio_0561.mp3,12.029160997732426,0.006340054329484701,0.013018476776778698,0.08391851818400771,0.09245891727758679,1894.5543219426913,1345.1045741482544,2159.5430777086804,788.4467478759958,3764.03709808526,2639.2676550987776
audio_0562,audio_0562.mp3,whisper,..\..\data\raw\audio\audio_0562.mp3,17.076916099773243,0.008384352549910545,0.007989408448338509,0.2831779148267663,0.1678416096284917,3764.959908993913,1965.3352818639262,2305.1945823956535,970.9424714098534,6378.889598017154,2970.844930463811
